rank,buyer,tender_count,first_seen,last_seen,avg_score,priority_reason,safe_next_action
1,Buckinghamshire Council - e-Tendering System,180,2026-04-17,2026-05-14,5.00,180 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
2,Department for Education,170,2026-04-10,2026-05-22,9.46,170 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
3,NHS England,149,2026-04-13,2026-05-22,9.69,149 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
4,Ministry of Defence,138,2026-04-01,2026-05-22,5.91,138 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
5,UK Research & Innovation (UKRI),123,2026-04-10,2026-05-22,6.26,123 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
6,Derbyshire County Council,122,2026-04-13,2026-05-22,9.89,122 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
7,Hampshire County Council,122,2026-04-14,2026-05-22,3.01,122 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
8,The North Yorkshire Council,119,2026-04-14,2026-05-22,11.55,119 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
9,Nuclear Restoration Services Limited,115,2026-04-13,2026-05-22,7.35,115 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
10,Ministry of Justice,110,2026-04-10,2026-05-22,10.08,110 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
11,UK Research and Innovation,104,2026-04-14,2026-05-22,4.86,104 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
12,City of Bradford Metropolitan District Council,97,2026-04-08,2026-05-22,9.57,97 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
13,National Highways Limited,96,2026-04-10,2026-05-25,15.21,96 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
14,Leicester City Council,81,2026-04-10,2026-05-22,4.35,81 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
15,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,81,2026-04-14,2026-05-21,3.89,81 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
16,Transport for London,80,2026-04-10,2026-05-22,15.31,80 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
17,NHS Wales Shared Services Partnership-Procurement Services (hosted by Velindre University NHS Trust),76,2026-04-07,2026-05-22,9.54,76 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
18,East Sussex County Council,76,2026-04-14,2026-05-22,2.89,76 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
19,NHS South Yorkshire Integrated Care Board,76,2026-04-22,2026-05-19,7.53,76 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
20,Home Office,70,2026-04-10,2026-05-22,9.74,70 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
21,London Borough of Haringey,61,2026-04-14,2026-05-25,19.51,61 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
22,The Mayor and Commonalty and Citizens of the City of London,59,2026-04-14,2026-05-22,12.20,59 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
23,"Leicestershire County Council, trading as ESPO",59,2026-04-15,2026-05-21,4.22,59 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
24,UK SHARED BUSINESS SERVICES LIMITED,58,2026-04-10,2026-05-22,6.05,58 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
25,Government Commercial Agency,58,2026-04-14,2026-05-22,4.88,58 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
26,Llywodraeth Cymru / Welsh Government,57,2026-04-16,2026-05-22,10.72,57 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
27,Nottingham City Council,57,2026-04-14,2026-05-22,16.77,57 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
28,West Midlands Combined Authority,56,2026-04-14,2026-05-22,13.43,56 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
29,Suffolk County Council Passenger Transport,55,2026-04-10,2026-05-22,0.00,55 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
30,Coventry City Council,55,2026-04-14,2026-05-22,11.05,55 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
31,Bristol City Council,54,2026-04-14,2026-05-22,12.67,54 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
32,Leeds City Council,54,2026-04-15,2026-05-22,14.17,54 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
33,Tees Valley Combined Authority,53,2026-04-14,2026-05-22,4.43,53 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
34,Lincolnshire County Council,53,2026-04-14,2026-05-22,3.11,53 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
35,"Foreign, Commonwealth and Development Office",52,2026-04-13,2026-05-26,14.40,52 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
36,[REDACTED],52,2026-04-16,2026-05-22,13.67,52 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
37,Met Office,50,2026-04-15,2026-05-20,5.94,50 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
38,Birmingham City Council,48,2026-04-14,2026-05-22,14.94,48 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
39,Barnsley Metropolitan Borough Council,48,2026-04-14,2026-05-22,15.44,48 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
40,Mayor's Office for Policing and Crime,47,2026-04-12,2026-05-25,10.32,47 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
41,North Northamptonshire Council,47,2026-04-13,2026-05-22,5.74,47 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
42,West Northamptonshire Council,46,2026-04-14,2026-05-22,5.91,46 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
43,Leeds Teaching Hospitals NHS Trust,46,2026-04-14,2026-05-20,11.07,46 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
44,Kent County Council,45,2026-04-14,2026-05-22,4.89,45 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
45,"Department for Science, Innovation & Technology",45,2026-04-08,2026-05-22,14.67,45 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
46,Somerset Council,45,2026-04-14,2026-05-22,5.67,45 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
47,London Borough of Southwark,44,2026-04-12,2026-05-22,22.95,44 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
48,Westminster City Council,44,2026-03-27,2026-05-22,13.98,44 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
49,Halton Borough Council,44,2026-04-23,2026-05-21,16.68,44 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
50,University of the West of England,44,2026-04-14,2026-05-21,4.66,44 historical tender records in local warehouse.,"Use for buyer research, account mapping, and evidence-backed briefing; do not treat as a live bid recommendation without validation."
