id,company_name,country,region,segment,likely_relevance,buyer_or_supplier,website,linkedin_url,evidence_status,outreach_priority,suggested_angle,notes
NL-TGT-001,Dutch civils contractor target 001,Netherlands,South Holland,Dutch civils contractors,Urban civils and public realm delivery,supplier,,,research_needed,high,Ask for feedback on municipal civils opportunity ranking,Placeholder account for research; sample/demo target only
NL-TGT-002,Dutch civils contractor target 002,Netherlands,North Holland,Dutch civils contractors,Drainage and street works capability,supplier,,,research_needed,high,Validate drainage and public works source coverage,Placeholder account for research; sample/demo target only
NL-TGT-003,Dutch civils contractor target 003,Netherlands,Utrecht,Dutch civils contractors,Cycling corridors and junction works,supplier,,,research_needed,medium,Test active-travel and local roads qualification workflow,Placeholder account for research; sample/demo target only
NL-TGT-004,Dutch civils contractor target 004,Netherlands,North Brabant,Dutch civils contractors,Utilities relocation and pavement works,supplier,,,research_needed,medium,Ask whether buyer signals reduce tender review time,Placeholder account for research; sample/demo target only
NL-TGT-005,Dutch civils contractor target 005,Netherlands,Gelderland,Dutch civils contractors,Regional civil engineering delivery,supplier,,,research_needed,medium,Position as sample/demo public works shortlist review,Placeholder account for research; sample/demo target only
NL-TGT-006,Dutch civils contractor target 006,Netherlands,Overijssel,Dutch civils contractors,Municipal frameworks and minor works,supplier,,,research_needed,low,Validate recurring buyer watchlist concept,Placeholder account for research; sample/demo target only
NL-TGT-007,Dutch civils contractor target 007,Netherlands,Limburg,Dutch civils contractors,Roads drainage and site preparation,supplier,,,research_needed,medium,Ask for CPV filter feedback,Placeholder account for research; sample/demo target only
NL-TGT-008,Dutch civils contractor target 008,Netherlands,Zeeland,Dutch civils contractors,Coastal public works and maintenance,supplier,,,research_needed,medium,Test public works and drainage pilot angle,Placeholder account for research; sample/demo target only
NL-TGT-009,Dutch civils contractor target 009,Netherlands,Flevoland,Dutch civils contractors,Rural road and verge works,supplier,,,research_needed,low,Ask whether regional road maintenance ranking helps,Placeholder account for research; sample/demo target only
NL-TGT-010,Dutch civils contractor target 010,Netherlands,Friesland,Dutch civils contractors,Small infrastructure and drainage works,supplier,,,research_needed,low,Validate municipal source coverage needs,Placeholder account for research; sample/demo target only
NL-TGT-011,Dutch civils contractor target 011,Netherlands,Groningen,Dutch civils contractors,Water adjacent civil works,supplier,,,research_needed,medium,Ask for feedback on water authority opportunity cards,Placeholder account for research; sample/demo target only
NL-TGT-012,Dutch civils contractor target 012,Netherlands,Drenthe,Dutch civils contractors,Local roads and public realm works,supplier,,,research_needed,low,Use as research queue for regional civils feedback,Placeholder account for research; sample/demo target only
NL-TGT-013,Dutch civils contractor target 013,Netherlands,South Holland,Dutch civils contractors,Quay drainage and urban works,supplier,,,research_needed,high,Ask about waterfront civils qualification criteria,Placeholder account for research; sample/demo target only
NL-TGT-014,Dutch civils contractor target 014,Netherlands,Utrecht,Dutch civils contractors,Framework and small works delivery,supplier,,,research_needed,medium,Validate urgency and recommended action fields,Placeholder account for research; sample/demo target only
NL-TGT-015,Dutch civils contractor target 015,Netherlands,North Holland,Dutch civils contractors,Municipal streets and utilities,supplier,,,research_needed,medium,Ask whether weekly ranked shortlists would help,Placeholder account for research; sample/demo target only
