company,priority,contact_name,role,linkedin_url,email,channel,status,last_touch,next_follow_up,response_sentiment,notes,demo_link_sent,call_booked,next_step,opt_out,suppression_note
Kier,High,,,,,LinkedIn,Target identified,,,no_response,,false,false,Review LinkedIn profiles,false,
Morgan Sindall,High,,,,,LinkedIn,Target identified,,,no_response,,false,false,Review LinkedIn profiles,false,
Balfour Beatty,High,,,,,LinkedIn,Target identified,,,no_response,,false,false,Review LinkedIn profiles,false,
Tilbury Douglas,High,,,,,LinkedIn,Target identified,,,no_response,,false,false,Review LinkedIn profiles,false,
Wates,High,,,,,LinkedIn,Target identified,,,no_response,,false,false,Review LinkedIn profiles,false,
Galliford Try,Medium,,,,,LinkedIn,Target identified,,,no_response,,false,false,Review LinkedIn profiles,false,
Octavius Infrastructure,Medium,,,,,LinkedIn,Target identified,,,no_response,,false,false,Review LinkedIn profiles,false,
VolkerFitzpatrick,Medium,,,,,LinkedIn,Target identified,,,no_response,,false,false,Review LinkedIn profiles,false,
Colas,Medium,,,,,LinkedIn,Target identified,,,no_response,,false,false,Review LinkedIn profiles,false,
Bachy Soletanche,Medium,,,,,LinkedIn,Target identified,,,no_response,,false,false,Review LinkedIn profiles,false,
