buyer,tender_count,first_seen,last_seen,avg_score,memory_frequency,memory_last_seen,recent_example_title,recent_example_source,report_note
Buckinghamshire Council - e-Tendering System,180,2026-04-17,2026-05-14,5.00,180,2026-05-14,,,Historical local warehouse analysis; validate live opportunity details before action.
Department for Education,170,2026-04-10,2026-05-22,9.46,170,2026-05-22,Construction Framework 2025,fat,Historical local warehouse analysis; validate live opportunity details before action.
NHS England,149,2026-04-13,2026-05-22,9.69,149,2026-05-22,,,Historical local warehouse analysis; validate live opportunity details before action.
Ministry of Defence,138,2026-04-01,2026-05-22,5.91,138,2026-05-22,,,Historical local warehouse analysis; validate live opportunity details before action.
UK Research & Innovation (UKRI),123,2026-04-10,2026-05-22,6.26,123,2026-05-22,UKRI-6032 Registered Building Inspector Services,fat,Historical local warehouse analysis; validate live opportunity details before action.
Derbyshire County Council,122,2026-04-13,2026-05-22,9.89,122,2026-05-22,,,Historical local warehouse analysis; validate live opportunity details before action.
Hampshire County Council,122,2026-04-14,2026-05-22,3.01,122,2026-05-22,Cross Pavement Channels for On-street Electric Vehicle Charging,fat,Historical local warehouse analysis; validate live opportunity details before action.
The North Yorkshire Council,119,2026-04-14,2026-05-22,11.55,119,2026-05-22,Wetherby Road Signals & Pedestrian Crossing Upgrades,fat,Historical local warehouse analysis; validate live opportunity details before action.
Nuclear Restoration Services Limited,115,2026-04-13,2026-05-22,7.35,115,2026-05-22,,,Historical local warehouse analysis; validate live opportunity details before action.
Ministry of Justice,110,2026-04-10,2026-05-22,10.08,110,2026-05-22,HMCTS Provision of Facilities Management and Security Services,fat,Historical local warehouse analysis; validate live opportunity details before action.
UK Research and Innovation,104,2026-04-14,2026-05-22,4.86,104,2026-05-22,,,Historical local warehouse analysis; validate live opportunity details before action.
City of Bradford Metropolitan District Council,97,2026-04-08,2026-05-22,9.57,97,2026-05-22,,,Historical local warehouse analysis; validate live opportunity details before action.
National Highways Limited,96,2026-04-10,2026-05-25,15.21,96,2026-05-25,Estates Construction Projects (Professional Services & Construction Contracts),fat,Historical local warehouse analysis; validate live opportunity details before action.
Leicester City Council,81,2026-04-10,2026-05-22,4.35,81,2026-05-22,PAN3529 - Supply of 18t Tipper Crane,fat,Historical local warehouse analysis; validate live opportunity details before action.
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,81,2026-04-14,2026-05-21,3.89,81,2026-05-21,,,Historical local warehouse analysis; validate live opportunity details before action.
Transport for London,80,2026-04-10,2026-05-22,15.31,80,2026-05-22,Green Park - Linear Heat Replacement,fat,Historical local warehouse analysis; validate live opportunity details before action.
NHS Wales Shared Services Partnership-Procurement Services (hosted by Velindre University NHS Trust),76,2026-04-07,2026-05-22,9.54,76,2026-05-22,POW-FTS-62602 - Critical Ventilation Contract - PTHB,fat,Historical local warehouse analysis; validate live opportunity details before action.
East Sussex County Council,76,2026-04-14,2026-05-22,2.89,76,2026-05-22,,,Historical local warehouse analysis; validate live opportunity details before action.
NHS South Yorkshire Integrated Care Board,76,2026-04-22,2026-05-19,7.53,76,2026-05-19,,,Historical local warehouse analysis; validate live opportunity details before action.
Home Office,70,2026-04-10,2026-05-22,9.74,70,2026-05-22,,,Historical local warehouse analysis; validate live opportunity details before action.
London Borough of Haringey,61,2026-04-14,2026-05-25,19.51,61,2026-05-25,The Grange Roof Repairs and Refurbishment,fat,Historical local warehouse analysis; validate live opportunity details before action.
The Mayor and Commonalty and Citizens of the City of London,59,2026-04-14,2026-05-22,12.20,59,2026-05-22,,,Historical local warehouse analysis; validate live opportunity details before action.
"Leicestershire County Council, trading as ESPO",59,2026-04-15,2026-05-21,4.22,59,2026-05-21,,,Historical local warehouse analysis; validate live opportunity details before action.
UK SHARED BUSINESS SERVICES LIMITED,58,2026-04-10,2026-05-22,6.05,58,2026-05-22,,,Historical local warehouse analysis; validate live opportunity details before action.
Government Commercial Agency,58,2026-04-14,2026-05-22,4.88,58,2026-05-22,,,Historical local warehouse analysis; validate live opportunity details before action.
