country,source_name,url,owner,api_available,rss_available,download_available,auth_required,robots_or_terms_checked,rate_limit_known,fields_available,verified_by,verified_at,status,next_action,notes
Germany,TED/eForms Germany fallback,https://ted.europa.eu/,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,,,unverified,verify source terms and available access method,Fallback candidate for German notices; verify field coverage and duplicate handling.
Germany,bund.de,https://www.bund.de/,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,,,unverified,verify source terms and available access method,Verify whether procurement notices or onward source links are available.
Germany,service.bund.de,https://www.service.bund.de/,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,,,unverified,verify source terms and available access method,Verify procurement coverage, terms, fields, and overlap with TED/eForms.
Germany,regional/state procurement portals,,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,,,unverified,verify source terms and available access method,Placeholder group; split by state or portal after manual review.
Germany,construction-specific public portals,,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,,,unverified,verify source terms and available access method,Placeholder group for construction/civils specific sources.
Austria,TED/eForms Austria fallback,https://ted.europa.eu/,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,,,unverified,verify source terms and available access method,Fallback candidate for Austrian notices; verify field coverage and duplicate handling.
Austria,auftrag.at,https://www.auftrag.at/,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,,,unverified,verify source terms and available access method,Verify access method, authentication, terms, and commercial usefulness.
Austria,public procurement platform placeholders,,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,,,unverified,verify source terms and available access method,Placeholder group for Austrian public procurement sources.
Switzerland,simap.ch,https://www.simap.ch/,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,,,unverified,verify source terms and available access method,Verify access method, multilingual fields, terms, and reuse limits.
Switzerland,canton/municipal portals,,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,,,unverified,verify source terms and available access method,Placeholder group for canton and municipal sources; split after review.
Switzerland,TED/eForms Switzerland/EU-adjacent fallback where relevant,https://ted.europa.eu/,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,,,unverified,verify source terms and available access method,Verify relevance for Swiss-linked or EU-adjacent notices.
